Name,Cation,Anion,Alkyl Chain,Functional Group,Heat Capacity (J/mol·K),Density (kg/m³),Toxicity (IC50 in mM),Solubility (g/L),Hydrophobicity (logP),Viscosity (Pa·s),Pareto Score,In ILThermo
carbonyl-decyltrimethylammonium bis(trifluoromethanesulfonyl)imide,Diethylmethylammonium,Bis(trifluoromethanesulfonyl)imide,Decyl,Carbonyl,1088.475116,1335.915369,5.683019939,1.733253018,5.8175,0.529335884,0.54355223,No
1-(3-aminohexyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Octyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Hexyl,Amino,1298.625121,1753.15896,5.207315375,1.915540829,6.77902,1.248812918,0.543455507,No
decyltrimethylammonium bis(trifluoromethanesulfonyl)imide,Ammonium,Bis(trifluoromethanesulfonyl)imide,Decyl,,949.8703649,1328.542116,4.681409255,1.491824698,5.5825,0.398623842,0.543431388,No
decyltrimethylammonium bis(trifluoromethanesulfonyl)imide,Tetraethylammonium,Bis(trifluoromethanesulfonyl)imide,Decyl,,1062.653641,1386.102741,5.683019939,1.954237321,7.0891,0.377777056,0.543431388,No
decyltrimethylammonium bis(trifluoromethanesulfonyl)imide,Tetramethylammonium,Bis(trifluoromethanesulfonyl)imide,Decyl,,1006.25748,1368.710774,5.683019939,1.733253018,5.5287,0.298255715,0.543431388,No
decyltrimethylammonium bis(trifluoromethanesulfonyl)imide,Diethylmethylammonium,Bis(trifluoromethanesulfonyl)imide,Decyl,,1028.520882,1370.668636,5.683019939,1.733253018,6.0024,0.354022457,0.543431388,No
decyltrimethylammonium bis(trifluoromethanesulfonyl)imide,Tributylmethylammonium,Bis(trifluoromethanesulfonyl)imide,Decyl,,1090.846696,1309.17318,5.683019939,1.733253018,9.0396,0.507626264,0.543431388,No
nonyl-phospholium bis(trifluoromethanesulfonyl)imide,Phospholium,Bis(trifluoromethanesulfonyl)imide,Nonyl,,1045.910583,1281.696774,12.02518858,1,6.9327,0.384924865,0.543400772,No
carboxyl-tetraheptylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Heptyl,Carboxyl,1252.862224,1460.123843,24.80956822,1.665291195,9.9412,1.491870992,0.543379254,No
tetraethylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Ethyl,,1098.486806,1707.441293,13.53153918,2.181472265,8.2899,0.441085027,0.543259104,No
carbonyl-N-decyl-N-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,Pyrrolidinium,Bis(trifluoromethanesulfonyl)imide,Decyl,Carbonyl,1100.867562,1330.861161,3.871025314,1,5.406,0.506375022,0.543251068,No
carbonyl-tetraethylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Ethyl,Carbonyl,1158.44104,1639.38801,13.53153918,2.181472265,8.105,0.65951221,0.54318246,No
carboxyl-1-decyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Butyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Decyl,Carboxyl,1270.743827,1505.032911,6.294464819,1.915540829,6.31782,1.410533619,0.543167315,No
